rank	gen	depth	min     	avg     	max     	std      
5   	0  	100  	-3299.58	-2279.74	-2107.75	137.514  
5   	1  	100  	-2389.61	-2187.17	-2097.79	49.0055  
5   	2  	100  	-2242.36	-2149.81	-2097.79	28.4092  
5   	3  	100  	-2293.06	-2131.53	-2083.25	26.0732  
5   	4  	100  	-2176.94	-2114.25	-2076.29	15.4336  
5   	5  	100  	-2221.85	-2104.31	-2072.72	14.2792  
5   	6  	100  	-2124.71	-2094.76	-2066.45	10.8877  
5   	7  	100  	-2219.99	-2086.42	-2066.45	12.2856  
5   	8  	100  	-2206.12	-2080.72	-2066.45	10.7942  
5   	9  	100  	-2097.36	-2075   	-2063.38	5.64946  
5   	10 	100  	-2195.3 	-2072.29	-2062.18	8.62582  
5   	11 	100  	-2095.83	-2069.41	-2062.18	3.58476  
5   	12 	100  	-2097.97	-2067.53	-2060.64	3.70723  
5   	13 	100  	-2148.6 	-2066.2 	-2060.64	6.70522  
5   	14 	100  	-2085.04	-2063.94	-2059.76	2.36243  
5   	15 	100  	-2119.13	-2063.05	-2058.97	4.13502  
5   	16 	100  	-2092.42	-2062.1 	-2058.97	2.93053  
5   	17 	100  	-2088.9 	-2061.77	-2056.75	2.65555  
5   	18 	100  	-2075.98	-2060.84	-2056.12	1.94388  
5   	19 	100  	-2218.14	-2060.69	-2056.03	9.66813  
5   	20 	100  	-2090.07	-2059.35	-2054.82	2.99207  
5   	21 	100  	-2084.87	-2058.54	-2053.95	2.96269  
5   	22 	100  	-2081.19	-2057.62	-2052.94	2.63387  
5   	23 	100  	-2098.1 	-2056.74	-2052.87	3.56123  
5   	24 	100  	-2117.41	-2055.52	-2051.98	3.95234  
5   	25 	100  	-2705.06	-2056.72	-2050.74	37.5366  
5   	26 	100  	-2064.25	-2053.53	-2050.74	1.20571  
5   	27 	100  	-2060.66	-2053.03	-2050.74	1.18421  
5   	28 	100  	-2068.35	-2052.47	-2050.74	1.3076   
5   	29 	100  	-2061.81	-2051.88	-2050.38	1.07116  
5   	30 	100  	-2074.69	-2051.6 	-2049.25	1.90072  
5   	31 	100  	-2082.96	-2051.33	-2049.25	2.242    
5   	32 	100  	-2108.56	-2050.97	-2049.01	3.53413  
5   	33 	100  	-2115.74	-2050.96	-2048.94	5.60155  
5   	34 	100  	-2108.26	-2050.14	-2048.94	3.97312  
5   	35 	100  	-2095.72	-2049.74	-2048.94	3.19623  
5   	36 	100  	-2080.53	-2049.4 	-2048.94	2.29645  
5   	37 	100  	-2100.53	-2049.38	-2048.94	3.44308  
5   	38 	100  	-2055.85	-2049.01	-2048.94	0.566418 
5   	39 	100  	-2057.54	-2049.03	-2048.94	0.818357 
5   	40 	100  	-2067.46	-2049.1 	-2048.51	1.43691  
5   	41 	100  	-2070.52	-2049.12	-2048.51	1.77632  
5   	42 	100  	-2199.74	-2049.74	-2048.24	8.94986  
5   	43 	100  	-2072.4 	-2049.1 	-2048.24	1.83124  
5   	44 	100  	-2157.13	-2049.66	-2048.24	8.43099  
5   	45 	100  	-2310.34	-2050.06	-2047.54	15.8121  
5   	46 	100  	-2150.26	-2049.07	-2047.54	7.00609  
5   	47 	100  	-2075.68	-2048.53	-2047.54	2.07989  
5   	48 	100  	-2124.62	-2048.63	-2047.54	4.75888  
5   	49 	100  	-2085.91	-2048.4 	-2047.54	3.09011  
5   	50 	100  	-2075.57	-2048.15	-2047.54	2.16389  
5   	51 	100  	-2080.61	-2048   	-2047.54	2.58635  
5   	52 	100  	-2071.58	-2047.76	-2047.41	1.81039  
5   	53 	100  	-2085.2 	-2048.08	-2047.41	3.67054  
5   	54 	100  	-2172.6 	-2047.98	-2047.41	7.22229  
5   	55 	100  	-2091.17	-2048.04	-2047.41	3.95095  
5   	56 	100  	-2068.53	-2047.7 	-2047.28	1.55673  
5   	57 	100  	-2067.12	-2047.61	-2047.28	1.472    
