gen	depth	min     	avg     	max     	std    
0  	100  	-2767.22	-1782.83	-1659.69	100.896
1  	100  	-2588.77	-1725   	-1644.79	60.4494
2  	100  	-2000.33	-1700.6 	-1644.68	34.0754
3  	100  	-1831.83	-1683.62	-1642.9 	21.39  
4  	100  	-2555.72	-1674.18	-1640.13	44.4686
5  	100  	-1918.71	-1665.39	-1637.65	22.4743
6  	100  	-1764.65	-1657.75	-1635.26	15.4107
7  	100  	-1917.53	-1652.75	-1628.17	22.0041
8  	100  	-2882.09	-1653.42	-1622.5 	70.8513
9  	100  	-1975.02	-1644.39	-1622.5 	25.0384
10 	100  	-1940.1 	-1640.06	-1622.5 	21.8788
11 	100  	-2432.63	-1639.91	-1621.43	57.1793
12 	100  	-1828.31	-1632.2 	-1619.8 	12.9248
13 	100  	-1884.77	-1629.04	-1619.06	15.6323
14 	100  	-1764.04	-1626.53	-1619.06	12.4082
15 	100  	-1964.1 	-1625.36	-1618.28	20.0403
16 	100  	-1780.06	-1623.45	-1618.28	10.203 
17 	100  	-1682.19	-1621.95	-1617.7 	6.24034
18 	100  	-1756.22	-1621.35	-1616.48	7.97204
19 	100  	-1879.15	-1621.36	-1615.88	15.3846
20 	100  	-1722.4 	-1620.19	-1615.78	8.86155
21 	100  	-2167.39	-1619.95	-1615.64	25.1111
22 	100  	-1757.06	-1618.91	-1615.59	9.71866
23 	100  	-2112.83	-1619.51	-1614.38	23.918 
24 	100  	-2243.76	-1620.92	-1614.3 	37.7011
25 	100  	-1734.97	-1617.6 	-1614.08	8.47587
26 	100  	-1711.24	-1617.19	-1613.38	8.00899
27 	100  	-1929.94	-1617.59	-1613.38	16.9092
28 	100  	-1747.52	-1616.82	-1613.36	9.97778
29 	100  	-1644.94	-1615.63	-1613.04	3.54292
30 	100  	-1793.09	-1615.88	-1612.68	9.79245
31 	100  	-1691.33	-1615.15	-1612.34	6.18813
32 	100  	-1659.22	-1614.63	-1611.98	4.25064
33 	100  	-5025.55	-1623.59	-1611.68	155.356
34 	100  	-1691.22	-1614.32	-1611.36	6.01967
35 	100  	-1769.85	-1614.65	-1611.29	10.9595
36 	100  	-1722.7 	-1613.84	-1610.46	6.69038
37 	100  	-1750.22	-1614.5 	-1610.24	11.9983
38 	100  	-1849.6 	-1614.13	-1610.24	15.9941
39 	100  	-1718.48	-1612.89	-1610.16	6.87481
40 	100  	-1815.49	-1613.51	-1609.54	13.2487
41 	100  	-1748.48	-1612.96	-1609.24	11.5167
42 	100  	-1731.61	-1612.24	-1608.84	8.91473
43 	100  	-1724.39	-1612.23	-1608.84	10.6986
44 	100  	-1853.05	-1611.56	-1608.84	12.1985
45 	100  	-1685.27	-1611.05	-1607.94	6.12623
46 	100  	-1668.21	-1610.32	-1607.94	4.61384
47 	100  	-1660.38	-1610.21	-1607.94	4.53362
48 	100  	-1747.89	-1610.32	-1607.74	7.6808 
49 	100  	-1665.36	-1609.41	-1607.74	3.70448
50 	100  	-1655.05	-1609.49	-1607.74	4.09467
51 	100  	-1748   	-1609.74	-1607.74	8.83633
52 	100  	-1816.52	-1609.98	-1607.74	14.3791
53 	100  	-1754.64	-1609.76	-1607.14	11.424 
54 	100  	-1924.77	-1610.08	-1607.14	17.4005
55 	100  	-2485.9 	-1611.39	-1607.14	41.0802
56 	100  	-1696.01	-1608.7 	-1607.14	6.02621
57 	100  	-1978.35	-1609.34	-1607.05	17.6537
58 	100  	-1680.57	-1608.65	-1607.05	6.35907
59 	100  	-1685.92	-1608.69	-1606.74	6.26321
60 	100  	-1648.32	-1608.34	-1606.74	5.11307
61 	100  	-1666.21	-1608.12	-1606.44	5.04207
62 	100  	-1676.18	-1608.58	-1606.44	6.87959
63 	100  	-1683.54	-1608.13	-1606.44	5.37836
64 	100  	-1819.89	-1608.99	-1606.44	12.9449
65 	100  	-1684.47	-1608.06	-1606.35	6.35149
66 	100  	-1748.86	-1608.35	-1606.35	9.0312 
67 	100  	-1645.1 	-1607.53	-1606.35	3.76674
68 	100  	-1677.34	-1607.78	-1605.92	5.78227
69 	100  	-1659.29	-1607.24	-1605.92	4.00748
70 	100  	-1649.35	-1607.21	-1605.92	3.84865
71 	100  	-1746.86	-1607.9 	-1605.92	8.67895
72 	100  	-1720.26	-1607.61	-1605.92	7.58272
73 	100  	-1792.87	-1608.25	-1605.92	13.0082
74 	100  	-1666.83	-1607.48	-1605.8 	5.36771
75 	100  	-1641.51	-1606.78	-1605.8 	2.8215 
76 	100  	-1638.67	-1606.78	-1605.74	3.37089
77 	100  	-1773.21	-1607.43	-1605.32	10.8675
78 	100  	-1675.52	-1607.09	-1605.22	6.0894 
79 	100  	-1697.82	-1607.08	-1605.1 	7.02996
80 	100  	-1639.4 	-1606.3 	-1605.1 	2.66148
81 	100  	-1700.06	-1607.05	-1605.1 	8.26066
82 	100  	-1667.03	-1606.38	-1604.62	5.60174
83 	100  	-1811.42	-1607.37	-1604.52	14.3146
84 	100  	-1649.41	-1605.92	-1604.52	3.52404
85 	100  	-1655.7 	-1605.78	-1604.4 	3.89753
86 	100  	-1699   	-1606.11	-1604.4 	6.73767
87 	100  	-1795.33	-1606.24	-1604.32	11.387 
88 	100  	-1656.03	-1605.24	-1604.32	3.14852
89 	100  	-1868.78	-1606.24	-1603.74	12.9924
90 	100  	-1683.83	-1605.53	-1603.74	5.50605
91 	100  	-1795.63	-1605.65	-1603.74	9.92331
92 	100  	-1825.27	-1606.37	-1603.74	13.8148
93 	100  	-1664.74	-1605.74	-1603.7 	6.56866
94 	100  	-1716.07	-1605.27	-1603.7 	6.32132
95 	100  	-1678.98	-1605.21	-1603.7 	5.72663
96 	100  	-1763.49	-1605.03	-1603.7 	8.33832
97 	100  	-1682.79	-1604.84	-1603.62	6.11913
98 	100  	-1692.74	-1604.9 	-1603.62	6.35806
99 	100  	-1631.14	-1604.38	-1603.62	2.88473
gen	depth	min     	avg     	max     	std    
0  	100  	-2546.66	-1792.64	-1643.72	117.011
1  	100  	-2246.78	-1728.11	-1640.2 	52.7343
2  	100  	-1922.38	-1699.16	-1640.2 	30.7848
3  	100  	-2189.29	-1682.15	-1634.75	39.8161
4  	100  	-1876.74	-1666.36	-1634.75	19.5632
5  	100  	-1838.05	-1657.18	-1632.69	18.5902
6  	100  	-1928.52	-1649.86	-1630.69	20.2879
7  	100  	-2029.46	-1645.87	-1629.3 	24.9167
8  	100  	-2441.75	-1643.11	-1624.23	40.9903
9  	100  	-2285.79	-1638.42	-1623.93	29.6643
10 	100  	-2433.61	-1636.38	-1621.05	37.2239
11 	100  	-1759.04	-1632.5 	-1620.13	11.4985
12 	100  	-1767.94	-1629.28	-1618.52	11.1274
13 	100  	-1718.92	-1626.22	-1617.81	8.62272
14 	100  	-1786.93	-1624.92	-1617.69	13.7488
15 	100  	-1734.43	-1623.01	-1616.35	9.95628
16 	100  	-1752.58	-1622.35	-1616.35	11.1641
17 	100  	-1781.78	-1620.71	-1615.66	8.42644
18 	100  	-1723.29	-1620.08	-1614.51	7.3334 
19 	100  	-1892.58	-1620.2 	-1614.51	16.0198
20 	100  	-1659.59	-1618.72	-1613.64	4.38001
21 	100  	-2190.27	-1621.11	-1613.64	29.4317
22 	100  	-1896.04	-1619.21	-1613.64	17.8963
23 	100  	-2172.54	-1619.76	-1612.98	27.5676
24 	100  	-1679.14	-1616.89	-1612.11	5.18775
25 	100  	-2021.63	-1619   	-1612.11	26.9064
26 	100  	-1722.53	-1616.17	-1611.42	9.18656
27 	100  	-1731.72	-1615.14	-1611.29	7.3574 
28 	100  	-1778.06	-1614.57	-1611.16	8.74606
29 	100  	-1669.01	-1613.88	-1610.76	5.6516 
30 	100  	-2241.18	-1615.27	-1610.64	31.7172
31 	100  	-1666.04	-1612.94	-1610.59	4.96396
32 	100  	-1825.76	-1614.77	-1610.51	19.5709
33 	100  	-1704.82	-1612.72	-1609.89	7.70854
34 	100  	-1683.15	-1612.3 	-1609.89	6.95849
35 	100  	-2426.93	-1613.95	-1609.89	37.0469
36 	100  	-1682.85	-1611.72	-1609.19	5.89224
37 	100  	-1671.82	-1611.33	-1609.14	5.32199
38 	100  	-1977.32	-1612.26	-1609.11	18.9114
39 	100  	-1893.83	-1612.17	-1608.99	18.7186
40 	100  	-1676.46	-1610.47	-1608.54	5.35196
41 	100  	-1838.92	-1611.62	-1608.49	15.691 
42 	100  	-1840.42	-1610.84	-1608.49	11.9855
43 	100  	-1658.97	-1610.05	-1608.29	4.36489
44 	100  	-1678.37	-1610.06	-1608.29	5.68305
45 	100  	-1735.42	-1609.76	-1607.94	7.03738
46 	100  	-1665.51	-1609.44	-1607.8 	4.014  
47 	100  	-4157.31	-1614.46	-1607.72	113.909
48 	100  	-1692.97	-1609.12	-1607.24	5.0665 
49 	100  	-1680.24	-1609.73	-1607.24	7.4629 
50 	100  	-1745.57	-1609.21	-1607.24	7.83931
51 	100  	-1699.04	-1609.19	-1607.02	8.17916
52 	100  	-1786.23	-1609.37	-1607.02	12.423 
53 	100  	-1694.53	-1608.93	-1607.02	7.95356
54 	100  	-2618.36	-1613.19	-1607.02	59.4021
55 	100  	-1869.81	-1609.66	-1606.42	18.2368
56 	100  	-1903.35	-1608.73	-1606.42	15.3991
57 	100  	-2133.59	-1609.01	-1606.32	24.5809
58 	100  	-1799.12	-1608.71	-1606.19	13.4758
59 	100  	-1741.05	-1608.21	-1606.19	8.76543
60 	100  	-1664.53	-1607.01	-1606.19	3.06027
61 	100  	-1835.35	-1608.12	-1606.19	13.8732
62 	100  	-1662.14	-1606.97	-1606.19	4.05527
63 	100  	-1734.55	-1607.5 	-1605.49	8.33594
64 	100  	-1672.57	-1607.09	-1605.49	5.3175 
65 	100  	-1805.61	-1607.91	-1605.49	12.3189
66 	100  	-1703.4 	-1607.48	-1605.49	8.12971
67 	100  	-1736.67	-1607.65	-1605.49	8.89306
68 	100  	-2126.9 	-1608.44	-1605.49	25.9584
69 	100  	-1819.81	-1608.11	-1605.49	14.8078
70 	100  	-1889.7 	-1607.74	-1605.49	18.0495
71 	100  	-1792.39	-1607.29	-1605.44	11.094 
72 	100  	-1718.43	-1606.81	-1605.44	7.62223
73 	100  	-1651.83	-1606.15	-1605.44	3.33955
74 	100  	-2191.02	-1608.91	-1605.44	30.1141
75 	100  	-1729.84	-1606.78	-1605.44	8.0061 
76 	100  	-1634.98	-1606.16	-1605.44	2.69186
77 	100  	-1675   	-1606.59	-1605.44	5.65033
78 	100  	-1848.7 	-1607.35	-1605.44	12.6053
79 	100  	-1721.08	-1607.46	-1605.44	10.1442
80 	100  	-1763.51	-1607.48	-1605.44	12.6934
81 	100  	-1868.84	-1607.3 	-1605.44	13.415 
82 	100  	-1683.77	-1606.23	-1605.19	5.02455
83 	100  	-1674.92	-1606.59	-1605.19	6.27878
84 	100  	-1666.22	-1606.25	-1605.19	4.68568
85 	100  	-1674.42	-1606.68	-1605.19	6.24055
86 	100  	-1765.35	-1606.88	-1604.8 	11.1144
87 	100  	-1859.79	-1607.44	-1604.8 	16.6637
88 	100  	-1721.65	-1606.74	-1604.8 	8.7583 
89 	100  	-1648.49	-1606.03	-1604.8 	3.95099
90 	100  	-2195.02	-1607.5 	-1604.8 	27.5347
91 	100  	-2090.59	-1607.54	-1604.8 	25.1933
92 	100  	-1687.73	-1606.03	-1604.74	6.32529
93 	100  	-1668.79	-1605.58	-1604.74	4.1854 
94 	100  	-1722.79	-1605.9 	-1604.67	8.15784
95 	100  	-1764.28	-1606.14	-1604.49	10.0705
96 	100  	-1679.96	-1605.64	-1604.49	4.5718 
97 	100  	-1734.44	-1606.76	-1604.49	9.96755
98 	100  	-2023.44	-1607.87	-1604.1 	25.5434
99 	100  	-1703.31	-1605.9 	-1604.1 	7.16476
gen	depth	min     	avg     	max     	std    
0  	100  	-2487.69	-1802.73	-1648.37	122.695
1  	100  	-2001.2 	-1733.36	-1642.29	45.9444
2  	100  	-1875.17	-1703.53	-1639.76	30.0217
3  	100  	-1918.42	-1684.8 	-1634.36	24.6608
4  	100  	-1941.3 	-1673.33	-1634.36	30.8268
5  	100  	-2894.71	-1666.53	-1632.94	68.0161
6  	100  	-1982.92	-1653.73	-1630.05	22.7644
7  	100  	-2646   	-1651.38	-1628.98	56.0375
8  	100  	-1753.66	-1641.7 	-1626.43	10.125 
9  	100  	-1715.57	-1638.21	-1625.05	7.47938
10 	100  	-1730.29	-1635.84	-1623.57	10.6039
11 	100  	-1760.25	-1633.18	-1620.08	9.758  
12 	100  	-1885.98	-1631.48	-1620.08	16.1588
13 	100  	-2548.01	-1632.68	-1619.7 	50.1829
14 	100  	-1976.04	-1630.04	-1619.7 	27.4899
15 	100  	-2570.93	-1627.6 	-1618.6 	44.0134
16 	100  	-1963.48	-1625.05	-1618.6 	17.9432
17 	100  	-1695.33	-1622.89	-1618.21	5.103  
18 	100  	-1760.86	-1622.49	-1617.79	9.66703
19 	100  	-1700.27	-1621.09	-1617.79	6.48817
20 	100  	-1722.68	-1620.47	-1616.78	7.61417
21 	100  	-1827.73	-1621.01	-1616.78	16.3579
22 	100  	-1665.12	-1619.3 	-1615.21	4.73175
23 	100  	-2107.09	-1621.06	-1615.21	27.7607
24 	100  	-1913.81	-1619.93	-1614.61	16.0967
25 	100  	-1741.04	-1618.92	-1614.37	10.1842
26 	100  	-2966.85	-1622.21	-1614.37	72.9438
27 	100  	-1773.18	-1617.9 	-1614.37	10.5696
28 	100  	-2367.91	-1619.79	-1613.69	37.1657
29 	100  	-1742.91	-1616.49	-1612.29	7.44108
30 	100  	-1719.16	-1616.25	-1612.29	7.26829
31 	100  	-2147.48	-1618.05	-1612.29	28.6849
32 	100  	-1674.58	-1615.03	-1611.59	5.69964
33 	100  	-1741.63	-1615.25	-1611.29	10.1921
34 	100  	-2708.32	-1616.9 	-1609.95	50.3731
35 	100  	-1674.47	-1613.55	-1609.89	5.81903
36 	100  	-1777.83	-1613.22	-1609.69	8.88741
37 	100  	-1781.87	-1613.28	-1609.69	10.1507
38 	100  	-1710.87	-1612.81	-1609.69	7.26053
39 	100  	-1874.66	-1612.95	-1609.69	14.3243
40 	100  	-1860.82	-1612.92	-1609.69	15.6222
41 	100  	-1694.28	-1611.37	-1609.24	5.87686
42 	100  	-1904.09	-1612.39	-1609.24	17.1591
43 	100  	-1970.13	-1611.95	-1609.24	17.4557
44 	100  	-1739.06	-1611.09	-1609.24	8.13749
45 	100  	-1697.33	-1611.25	-1608.87	7.62851
46 	100  	-1682.94	-1610.87	-1608.87	6.49924
47 	100  	-2352.84	-1611.92	-1608.84	33.6046
48 	100  	-1801   	-1610.78	-1608.42	12.5847
49 	100  	-1694.77	-1610   	-1608.29	5.82254
50 	100  	-1859.95	-1610.25	-1608.29	12.3711
51 	100  	-2136.84	-1611.84	-1608.29	25.5763
52 	100  	-1681.53	-1610.1 	-1608.29	7.04892
53 	100  	-1705.05	-1610.11	-1608.17	8.21914
54 	100  	-1691.78	-1609.36	-1608.14	4.69816
55 	100  	-1747.71	-1609.84	-1608.06	9.49737
56 	100  	-1972.6 	-1611.87	-1607.59	22.5885
57 	100  	-1809.06	-1609.88	-1607.29	10.9043
58 	100  	-1683.66	-1609.21	-1606.67	5.18644
59 	100  	-1711.16	-1609.28	-1606.67	7.13845
60 	100  	-1669.45	-1608.6 	-1605.97	4.28739
61 	100  	-1828.21	-1609.34	-1605.97	13.4457
62 	100  	-1723.96	-1608.52	-1605.97	7.99501
63 	100  	-1782.64	-1608.47	-1605.89	9.54159
64 	100  	-1704.16	-1607.84	-1605.89	7.36936
65 	100  	-1702.97	-1607.55	-1605.89	7.35908
66 	100  	-2242.04	-1608.28	-1605.89	28.6962
67 	100  	-1718.58	-1607.73	-1605.84	8.97556
68 	100  	-1686.22	-1607.04	-1605.84	6.26651
69 	100  	-1621.21	-1606.34	-1605.84	1.76172
70 	100  	-1934.52	-1608.04	-1605.62	17.1783
71 	100  	-1804.79	-1607.24	-1605.62	11.2345
72 	100  	-1732.07	-1607.27	-1605.19	8.68681
73 	100  	-1665.14	-1606.6 	-1605.19	4.09767
74 	100  	-1737.79	-1606.9 	-1605.19	8.31219
75 	100  	-1744.86	-1607.34	-1605.14	9.17301
76 	100  	-2622.26	-1608.73	-1604.92	45.7479
77 	100  	-1710.16	-1606.17	-1604.92	5.32071
78 	100  	-1679.68	-1606.24	-1604.92	5.98098
79 	100  	-1666.76	-1606.04	-1604.92	4.9029 
80 	100  	-1859.96	-1606.9 	-1604.87	13.749 
81 	100  	-1707.42	-1605.76	-1604.49	5.65283
82 	100  	-1795.91	-1606.83	-1604.49	14.7021
83 	100  	-1710.38	-1606.65	-1604.49	8.95724
84 	100  	-1661.69	-1605.87	-1604.1 	4.11399
85 	100  	-1696.42	-1605.95	-1604.1 	6.4906 
86 	100  	-1663.89	-1605.65	-1604.1 	4.69659
87 	100  	-1696.24	-1606.17	-1604.1 	7.25141
88 	100  	-1826.14	-1606.43	-1604.1 	14.2973
89 	100  	-1744.34	-1606.11	-1604.1 	8.71522
90 	100  	-1791.42	-1606.19	-1604.1 	12.3881
91 	100  	-1672.19	-1604.93	-1604.1 	4.70554
92 	100  	-1649.45	-1605.08	-1603.8 	4.49165
93 	100  	-1639.06	-1604.5 	-1603.8 	2.33353
94 	100  	-1723.31	-1605.1 	-1603.8 	6.76911
95 	100  	-1698.8 	-1605.31	-1603.8 	8.21748
96 	100  	-1645.69	-1604.71	-1603.8 	3.59834
97 	100  	-2001.26	-1607.2 	-1603.8 	26.0478
98 	100  	-1648.1 	-1604.38	-1603.8 	2.96873
99 	100  	-1693.39	-1605.03	-1603.49	7.10315
gen	depth	min     	avg     	max     	std    
0  	100  	-2707.52	-1798.79	-1645.25	131.184
1  	100  	-2116.53	-1725.28	-1645.25	59.3366
2  	100  	-2366.99	-1693.49	-1640.21	38.3284
3  	100  	-2186.01	-1679.88	-1634.78	40.9428
4  	100  	-2135.22	-1666.41	-1634.78	30.3001
5  	100  	-2238.75	-1658.16	-1634.52	32.2597
6  	100  	-1730.43	-1649.94	-1632.95	9.77186
7  	100  	-1919.7 	-1647.21	-1630.55	20.0537
8  	100  	-1880.46	-1641.05	-1628.78	13.1447
9  	100  	-2456.91	-1642.83	-1626.5 	50.1378
