gen	depth	min     	avg     	max     	std    
0  	100  	-43229.9	-2926.31	-2009.27	1926.32
1  	100  	-14259.7	-2538.38	-2009.27	633.262
2  	100  	-4733.59	-2383.22	-2009.27	236.783
3  	100  	-5808.38	-2280.28	-2009.27	252.269
4  	100  	-3670.57	-2209.86	-1920.34	139.957
5  	100  	-11805.4	-2188.77	-1920.34	460.575
6  	100  	-6441.06	-2135.9 	-1920.34	272.761
7  	100  	-4428.44	-2090.82	-1920.34	183.13 
8  	100  	-4577.14	-2052.8 	-1916.63	199    
9  	100  	-4977.36	-2017.16	-1888   	188.122
10 	100  	-4655.86	-1986.57	-1888   	194.089
11 	100  	-3300.51	-1960.85	-1855.46	133.26 
12 	100  	-2949.17	-1941.6 	-1855.46	77.4973
13 	100  	-2330.24	-1925.09	-1855.46	43.0566
14 	100  	-3259.36	-1939.52	-1853.03	133.335
15 	100  	-5274.93	-1932.1 	-1853.03	225.959
16 	100  	-6127.83	-1916.26	-1847.58	219.198
17 	100  	-3074.32	-1891.67	-1838.26	79.5554
18 	100  	-4251.44	-1882.14	-1838.26	134.763
19 	100  	-3394.7 	-1880.69	-1815.54	137.395
20 	100  	-3029.75	-1863.51	-1814.61	73.8151
21 	100  	-5866.67	-1872.05	-1814.61	241.371
22 	100  	-6907.43	-1867.16	-1804.96	273.545
23 	100  	-5802.1 	-1862.76	-1801.2 	245.784
24 	100  	-2630.03	-1836.43	-1797.72	62.9385
25 	100  	-9460.03	-1857.25	-1797.72	398.697
26 	100  	-3207.2 	-1826.53	-1797.72	82.6676
27 	100  	-15295  	-1888.93	-1797.72	702.041
28 	100  	-5397.73	-1844.1 	-1796.58	264.837
29 	100  	-5599.89	-1832.72	-1795.95	219.19 
30 	100  	-5455.81	-1819.38	-1794.43	196.508
31 	100  	-2431.02	-1817.84	-1794.43	81.2568
32 	100  	-2272.95	-1808.18	-1794.43	46.7855
33 	100  	-3531.17	-1822.63	-1794.36	133.523
34 	100  	-4415.59	-1817.2 	-1793.55	152.055
35 	100  	-3463.39	-1810.53	-1793.55	100.776
36 	100  	-3486.16	-1811.36	-1792.03	115.841
37 	100  	-4045.07	-1813.72	-1792.03	148.472
38 	100  	-2982.82	-1810.5 	-1792.03	87.5012
39 	100  	-2778.02	-1806.17	-1792.03	65.5448
40 	100  	-2276.22	-1804.58	-1792.03	50.051 
41 	100  	-2715.87	-1802.42	-1792.03	61.9493
42 	100  	-3687.15	-1806.9 	-1788.58	99.2693
43 	100  	-4581.57	-1811.94	-1787.41	148.02 
44 	100  	-2551.88	-1803.52	-1785.83	53.6285
45 	100  	-2319.35	-1801.56	-1785.83	47.0321
46 	100  	-11620.6	-1843.39	-1783.58	540.257
47 	100  	-2677   	-1806.34	-1781.65	83.6081
48 	100  	-2751.69	-1807.19	-1781.65	91.8754
49 	100  	-2545.98	-1801.73	-1781.65	67.9899
50 	100  	-4631.53	-1805.2 	-1780.2 	181.048
51 	100  	-3358.72	-1799.64	-1779.38	87.5256
52 	100  	-3080.07	-1798.46	-1778.11	93.773 
53 	100  	-3733.84	-1794.03	-1775.54	96.1823
54 	100  	-2951.72	-1795.92	-1775.54	85.2005
55 	100  	-2947.49	-1793.61	-1774.41	78.2313
56 	100  	-4356.42	-1801.35	-1774.41	182.419
57 	100  	-4594.19	-1805.36	-1774.41	233.631
58 	100  	-3256.29	-1790.07	-1773.71	90.4828
59 	100  	-4022.97	-1794.74	-1770.21	127.678
60 	100  	-2812.57	-1792.07	-1770.21	81.283 
61 	100  	-2788.55	-1790.25	-1768.17	88.0696
62 	100  	-2394.88	-1784.34	-1767.47	48.3364
63 	100  	-2748.08	-1789.6 	-1767.47	78.317 
64 	100  	-3122.14	-1782.29	-1766.77	77.5009
65 	100  	-2667.33	-1786.6 	-1765.95	80.5101
66 	100  	-3225.37	-1788.54	-1765.95	95.4185
67 	100  	-2380.93	-1776.59	-1765.82	43.3936
68 	100  	-2447.84	-1777.46	-1765.25	51.9925
69 	100  	-3506.04	-1780.89	-1764.12	91.5882
70 	100  	-2863.75	-1784.22	-1761.25	87.0178
71 	100  	-4201.23	-1785.5 	-1761.25	132.368
72 	100  	-2570.94	-1777.82	-1761.25	69.8257
73 	100  	-6018.68	-1790.22	-1755.66	214.418
74 	100  	-3724.49	-1790.33	-1755.66	157.402
75 	100  	-2773.45	-1779.15	-1755.59	78.0498
76 	100  	-2623.7 	-1771.66	-1755.27	59.4423
77 	100  	-2427.9 	-1771.34	-1754.45	57.1326
78 	100  	-2382.14	-1770.35	-1752.07	55.2748
79 	100  	-2932.16	-1770.06	-1751.72	73.5214
80 	100  	-4130.3 	-1773.41	-1746.96	126.353
81 	100  	-3251.3 	-1770.23	-1746.96	97.6926
82 	100  	-3227.86	-1773.22	-1746.96	115.038
83 	100  	-2503.83	-1764.91	-1746.69	60.3572
84 	100  	-2278.22	-1764.16	-1746.17	52.1939
85 	100  	-2960.36	-1766.3 	-1745.17	80.8312
86 	100  	-3268.3 	-1762.91	-1745.17	83.9229
87 	100  	-3965.93	-1764.49	-1744.65	128.873
88 	100  	-2297.33	-1759.7 	-1743.95	56.76  
89 	100  	-3719.73	-1763.32	-1743.95	115.425
90 	100  	-4567.12	-1762.54	-1743.83	138.025
91 	100  	-3172   	-1761.41	-1743.83	99.7268
92 	100  	-2908.72	-1757.45	-1743.83	77.8311
93 	100  	-12023.1	-1789.17	-1743.83	495.675
94 	100  	-2415.3 	-1754.97	-1742.06	56.0994
95 	100  	-2492.94	-1754.92	-1741.9 	56.234 
96 	100  	-2907.67	-1762.23	-1741.33	87.2719
97 	100  	-3342.68	-1761.35	-1740.7 	114.044
98 	100  	-7355.8 	-1764.44	-1740.7 	255.01 
99 	100  	-2816.93	-1752.94	-1740.31	64.9995
gen	depth	min     	avg     	max     	std    
0  	100  	-8844.62	-2851.15	-2164.72	598.222
1  	100  	-4964.33	-2554.13	-2085.61	285.465
2  	100  	-4826.22	-2420.51	-2085.61	215.625
3  	100  	-4145.51	-2336.37	-2051.44	194.329
4  	100  	-21812  	-2314.35	-2049.86	905.34 
5  	100  	-3981.01	-2198.02	-2012.97	127.684
6  	100  	-5542.09	-2162.04	-1986.56	207.167
7  	100  	-3309.02	-2114.31	-1936.45	108.517
8  	100  	-4612.94	-2093.66	-1936.45	212.543
9  	100  	-5264.53	-2059.11	-1936.45	170.587
10 	100  	-3481.7 	-2030.94	-1913.89	110.746
11 	100  	-3221.96	-2005.35	-1888.5 	101.11 
12 	100  	-2690.87	-1977.87	-1888.5 	66.0432
13 	100  	-10110.7	-1991.62	-1869.3 	438.467
14 	100  	-2883.37	-1945.45	-1869.3 	88.1123
15 	100  	-5826.09	-1946.79	-1869.3 	236.18 
16 	100  	-3140.26	-1915.15	-1867.66	80.7534
17 	100  	-7442.12	-1920.1 	-1859.24	323.631
18 	100  	-5416.23	-1899.28	-1852.27	175.175
19 	100  	-5827.27	-1915.11	-1832.04	289.331
20 	100  	-3834.17	-1884.86	-1832.04	119.348
21 	100  	-8694.17	-1897.58	-1822   	330.796
22 	100  	-4134.05	-1884.34	-1822   	194.275
23 	100  	-3639.16	-1866.68	-1818.01	125.572
24 	100  	-2774.99	-1852.68	-1817.09	77.5363
25 	100  	-3016.9 	-1857.73	-1813.19	117.606
26 	100  	-11582.4	-1872.68	-1809.93	465.872
27 	100  	-3431.19	-1838.44	-1809.93	106.93 
28 	100  	-3650.97	-1836.95	-1809.23	125.657
29 	100  	-3399.44	-1836.77	-1809.23	119.39 
30 	100  	-2960.48	-1824.3 	-1801.73	67.852 
31 	100  	-2587.61	-1826.63	-1801.73	70.9072
32 	100  	-2580.69	-1824.03	-1793.91	73.6635
33 	100  	-2751.13	-1820.94	-1793.91	65.9086
34 	100  	-9283.85	-1841.12	-1792.16	349.106
35 	100  	-2511.13	-1817.87	-1791.23	59.1081
36 	100  	-2791.43	-1815.03	-1784.41	74.3857
37 	100  	-4604.82	-1817.07	-1784.41	159.808
38 	100  	-3545.25	-1808.6 	-1784.41	98.4687
39 	100  	-3268.45	-1808.45	-1784.41	92.9824
40 	100  	-5204.98	-1816.06	-1782.1 	194.576
41 	100  	-2811.65	-1801.21	-1779.3 	62.9379
42 	100  	-6036.07	-1814.24	-1779.3 	251.409
43 	100  	-2294.45	-1797.03	-1778.84	57.1128
44 	100  	-3445.36	-1797.03	-1777.59	90.1815
45 	100  	-2621.67	-1793.21	-1775.25	58.0135
46 	100  	-5028.62	-1813.94	-1775.25	236.992
47 	100  	-3327.27	-1798.23	-1771.61	109.132
48 	100  	-3434.25	-1796.9 	-1770.09	115.953
49 	100  	-2441.91	-1785.54	-1767.62	42.5422
50 	100  	-2433.32	-1787.45	-1763.92	65.1268
51 	100  	-3900.63	-1792.81	-1762.39	130.659
52 	100  	-2864.87	-1791.24	-1759.54	103.08 
53 	100  	-2053.89	-1773.95	-1759.54	27.448 
54 	100  	-3505.17	-1782.75	-1755.52	108.526
55 	100  	-3222.22	-1781.13	-1754.1 	105.86 
56 	100  	-3764.93	-1779.15	-1752.62	123.022
57 	100  	-5128.68	-1796.25	-1752.62	241.042
58 	100  	-3062.27	-1781.41	-1752.03	116.445
59 	100  	-7124.82	-1775.97	-1750.3 	246.128
