"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Full Configuration","Predicted Performance (if available)",
"0.0"," 1.7976931348623157E308","0.0","1","0.0", " crossover='0.9', mutation='0.1', n_generations='100'","NaN"
"0.46961239899999996"," 1842.6020599913281","326.437","1","0.369929105", " crossover='0.9', mutation='0.1', n_generations='100'","NaN"
"324.41714304100003"," 1657.6020599913281","645.231","2","0.7233842699999999", " crossover='0.7311453961656185', mutation='0.5490008557768172', n_generations='200'","1842.6020599913281"
"1957.466843156"," 1628.6020599913281","1295.785","4","1.0148532430000001", " crossover='0.23122829881621865', mutation='0.5853583084741636', n_generations='123'","1726.6020599913281"
"6695.0247321"," 1625.0","2282.357","7","1.3565198360000004", " crossover='0.9334113309188509', mutation='0.6576757396391418', n_generations='108'","1689.0816479930622"
"8964.988100499"," 1623.6020599913281","2650.709","8","1.5023256520000001", " crossover='0.5534163534220562', mutation='0.6970626509430954', n_generations='79'","1745.77260570933"
"11600.625982126001"," 1608.6020599913281","3160.069","9","1.652786233", " crossover='0.07798692603953228', mutation='0.9238027869289849', n_generations='182'","1745.77260570933"
"158668.73536301305"," 1606.6020599913281","10560.651","31","4.263755099999999", " crossover='0.41971367777128976', mutation='0.27423847279513003', n_generations='242'","1729.4246723276967"
"1081985.623075666"," 1605.6020599913281","26574.582","83","9.402974131", " crossover='0.1566754644689663', mutation='0.41957850842661526', n_generations='151'","1644.1885622830735"
"1420617.942306598"," 1602.6020599913281","30249.967","95","10.565488725", " crossover='0.010533779722956882', mutation='0.6297990473376878', n_generations='199'","1640.0546242815485"
