ngen	time   	min     	avg     	max     	std    
0   	4.60601	-20195.9	-15534.7	-11651.5	1771.63
1   	6.17032	-21289.1	-14440.4	-9837.24	1598.27
2   	7.83959	-19603.7	-14724.8	-9837.24	1708.46
3   	9.44502	-19431.8	-14632  	-9837.24	1675.37
4   	11.1714	-19087.8	-14784.1	-9837.24	1708.52
5   	12.7684	-18951.3	-14523.3	-9837.24	1692.19
6   	14.4743	-19694  	-14772.8	-9837.24	1689.41
7   	16.15  	-20294  	-15221.6	-9837.24	2083.25
8   	17.788 	-21772  	-15665.1	-9837.24	2130.14
9   	19.4794	-21736.6	-15651  	-9837.24	2154.11
10  	21.0727	-20564.5	-15510.8	-9837.24	1889.6 
11  	22.681 	-21730.8	-15507.7	-9837.24	2309.62
12  	24.2931	-21829.9	-15927.4	-9837.24	2734.28
13  	26.0251	-23568.2	-16641.5	-9837.24	2520.24
14  	27.6381	-22965  	-17282.4	-9837.24	2458.86
15  	29.3743	-22839.3	-16742.3	-9837.24	1926.97
16  	31.0476	-21081.2	-15796.4	-9837.24	1680.19
17  	32.6586	-20683.5	-15334.8	-9837.24	1855.24
18  	34.3577	-22072.3	-17543.9	-9837.24	2821.96
19  	35.9284	-22541.6	-15536.4	-9837.24	1871.03
20  	37.5598	-22697.9	-16911.5	-9837.24	2138.88
21  	39.3044	-23418.6	-17836.5	-9837.24	2185.32
22  	40.9165	-21944.1	-16851.6	-9837.24	2118.01
23  	42.5008	-22252  	-16785  	-9837.24	1947.02
24  	44.1515	-23733.1	-16257.5	-9837.24	2286.95
25  	45.807 	-21774.5	-16523.7	-9837.24	2183.51
26  	47.5378	-22541.3	-17710.3	-9837.24	1989.01
27  	49.0989	-22697.1	-18174.9	-9837.24	1967.79
28  	50.7757	-22555.9	-16637.4	-9837.24	1722.1 
29  	52.4586	-23693.1	-17507.1	-9837.24	2427.68
30  	54.0423	-21713  	-15280  	-9837.24	1881.42
31  	55.6077	-22131.2	-17206.1	-9837.24	2578.89
32  	57.1936	-21303.2	-16553.9	-9837.24	2150.89
33  	58.9176	-22264.3	-15628.7	-9837.24	1735.41
34  	60.5525	-23584.3	-17655.6	-9837.24	1927.66
35  	62.1643	-24577  	-19737.8	-9837.24	2095.33
36  	63.8942	-25906.4	-20670.5	-9837.24	2624.08
37  	65.5426	-22237.8	-17492.6	-9837.24	1846.46
38  	67.1247	-22810.9	-17945.1	-9837.24	1679.03
39  	68.8945	-21468.3	-16479.2	-9837.24	1879.52
40  	70.6075	-24680  	-18938.5	-9837.24	2545.2 
41  	72.2085	-23143  	-17172.1	-9837.24	1927.36
42  	73.8502	-21921.1	-18964  	-9837.24	1536.35
43  	75.599 	-20806.6	-15998.1	-9684.31	2183.3 
44  	77.2652	-21424.2	-16942.7	-9684.31	1857.47
45  	79.0071	-23895.5	-19712.9	-9684.31	2031.92
46  	80.571 	-22004.3	-17933.6	-9684.31	1349.61
47  	82.1028	-23533.8	-16918.6	-9684.31	2151.61
48  	83.6684	-22857.6	-18356.5	-9684.31	1926.59
49  	85.2741	-21634.2	-16824.3	-9684.31	1797.27
50  	86.9391	-21567.2	-16941.5	-9684.31	1697.01
51  	88.4999	-22017.8	-17324.1	-9684.31	1856.41
52  	90.1184	-21161.8	-17264.1	-9684.31	1722.75
53  	91.7197	-20787.2	-16679.8	-9684.31	1576.77
54  	93.4129	-19967.7	-14675.7	-9684.31	1554.73
