gen	depth	min     	avg     	max     	std     
0  	25   	-1502.35	-840.145	-807.222	40.5455 
1  	25   	-923.896	-821.707	-807.222	10.0358 
2  	25   	-885.287	-816.226	-807.171	6.51052 
3  	25   	-883.002	-813.006	-806.523	5.7177  
4  	25   	-900.36 	-810.601	-803.921	4.8451  
5  	25   	-845.591	-809.211	-803.796	3.26567 
6  	25   	-821.599	-807.723	-803.097	2.04711 
7  	25   	-848.532	-806.662	-803.097	2.45827 
8  	25   	-866.488	-805.857	-803.097	3.97736 
9  	25   	-831.18 	-804.715	-802.398	2.07919 
10 	25   	-825.337	-804.007	-802.398	1.4146  
11 	25   	-838.097	-803.648	-802.398	2.2837  
12 	25   	-895.323	-803.576	-802.398	4.9093  
13 	25   	-814.678	-802.978	-802.222	0.9048  
14 	25   	-1046.7 	-803.739	-801.699	13.6467 
15 	25   	-873.528	-802.858	-801.699	3.53137 
16 	25   	-886.453	-803.074	-801.699	5.2098  
17 	25   	-827.365	-802.531	-801.523	1.43104 
18 	25   	-859.208	-802.499	-801.523	2.755   
19 	25   	-842.879	-802.454	-801.523	2.85945 
20 	25   	-818.398	-802.031	-801.301	1.11287 
21 	25   	-825.108	-801.986	-801.301	1.802   
22 	25   	-832.796	-801.87 	-801    	1.81998 
23 	25   	-853.252	-801.839	-801    	2.81401 
24 	25   	-826.538	-801.823	-800.699	2.03634 
25 	25   	-964.14 	-801.876	-800.699	7.30697 
26 	25   	-856.928	-801.734	-800.699	3.69325 
27 	25   	-817    	-801.319	-800.699	1.32111 
28 	25   	-843.046	-801.356	-800.699	3.00697 
29 	25   	-825.553	-801.036	-800.699	1.92408 
30 	25   	-812.284	-800.885	-800.699	0.921951
31 	25   	-922.9  	-801.252	-800.699	5.83503 
32 	25   	-819.658	-800.911	-800.699	1.38119 
33 	25   	-857.921	-801.045	-800.699	3.02785 
34 	25   	-830.893	-800.975	-800.699	2.17347 
35 	25   	-811.585	-800.865	-800.699	1.01562 
36 	25   	-818.398	-800.862	-800.699	1.12784 
37 	25   	-886.653	-801.23 	-800.699	4.31876 
38 	25   	-808.456	-800.85 	-800.699	0.776902
39 	25   	-821.806	-800.84 	-800.699	1.11407 
40 	25   	-895.708	-801.277	-800.699	4.99034 
41 	25   	-829.208	-800.89 	-800.699	1.62233 
42 	25   	-833.866	-801.225	-800.699	3.11775 
43 	25   	-834.143	-801.11 	-800.699	2.66743 
44 	25   	-1153.15	-801.907	-800.699	16.4921 
45 	25   	-816.167	-800.947	-800.699	1.3011  
46 	25   	-809.444	-800.874	-800.699	0.911908
47 	25   	-848.991	-801.147	-800.699	3.09127 
48 	25   	-823.301	-800.932	-800.699	1.52155 
49 	25   	-830.481	-800.997	-800.699	2.00598 
50 	25   	-815.056	-800.854	-800.699	1.15657 
51 	25   	-812.553	-800.927	-800.699	1.24366 
52 	25   	-841.959	-801.113	-800.699	3.01983 
53 	25   	-827.666	-800.972	-800.699	1.66974 
54 	25   	-826.666	-800.948	-800.699	1.67187 
55 	25   	-811.585	-800.896	-800.699	1.02866 
56 	25   	-810.62 	-800.831	-800.699	0.826369
57 	25   	-816.347	-800.917	-800.699	1.1938  
58 	25   	-816.444	-800.847	-800.699	1.17981 
59 	25   	-823.301	-800.931	-800.699	1.46665 
60 	25   	-838.097	-801.227	-800.699	3.45629 
61 	25   	-812.553	-800.878	-800.699	0.978266
62 	25   	-814.398	-800.861	-800.699	0.896878
63 	25   	-831.469	-800.901	-800.699	1.67536 
64 	25   	-863.585	-800.904	-800.699	2.84366 
65 	25   	-1532.53	-802.3  	-800.699	32.6991 
66 	25   	-831.469	-801.056	-800.699	2.41444 
67 	25   	-846.018	-801.115	-800.699	3.13452 
68 	25   	-887.826	-801.177	-800.699	4.79627 
69 	25   	-832.456	-800.92 	-800.699	1.61667 
70 	25   	-835.131	-800.999	-800.699	2.00423 
71 	25   	-810.62 	-800.866	-800.699	0.906417
72 	25   	-816.444	-800.921	-800.699	1.40746 
73 	25   	-827.237	-800.986	-800.699	1.87983 
74 	25   	-821.337	-800.909	-800.699	1.38106 
75 	25   	-832.456	-801.033	-800.699	2.17855 
76 	25   	-829.495	-800.953	-800.699	1.68037 
77 	25   	-819.377	-800.908	-800.699	1.18814 
78 	25   	-810.921	-800.818	-800.699	0.764947
79 	25   	-811.585	-800.837	-800.699	0.731868
80 	25   	-821.18 	-800.966	-800.699	1.77082 
81 	25   	-820.638	-801.064	-800.699	1.84591 
82 	25   	-809.658	-800.844	-800.699	0.688685
83 	25   	-815.77 	-800.819	-800.699	0.94104 
84 	25   	-842.056	-801.019	-800.699	2.54807 
85 	25   	-815.469	-800.9  	-800.699	1.10622 
86 	25   	-814.77 	-800.85 	-800.699	0.871725
87 	25   	-813.523	-800.912	-800.699	1.12436 
88 	25   	-815.194	-800.886	-800.699	1.12063 
89 	25   	-930.873	-801.201	-800.699	6.06463 
90 	25   	-823.301	-801.006	-800.602	1.79064 
91 	25   	-809.398	-800.841	-800.602	0.65079 
92 	25   	-813.426	-800.916	-800.602	1.08121 
93 	25   	-827.523	-800.878	-800.602	1.41648 
94 	25   	-846.31 	-801.16 	-800.602	3.32208 
95 	25   	-827.523	-800.925	-800.602	1.70571 
96 	25   	-810.523	-800.855	-800.602	1.00136 
97 	25   	-843.599	-800.989	-800.602	2.65911 
98 	25   	-869.143	-800.961	-800.602	3.33101 
99 	25   	-804.912	-800.677	-800.602	0.381402
gen	depth	min     	avg     	max     	std     
0  	25   	-1298.82	-839.531	-809.365	36.0995 
1  	25   	-853.171	-822.28 	-806.125	9.08833 
2  	25   	-850.714	-815.343	-806.125	5.05218 
3  	25   	-865.26 	-811.715	-804.62 	4.19468 
4  	25   	-950.146	-809.892	-804.62 	7.45022 
5  	25   	-923.128	-808.577	-803.523	6.56129 
6  	25   	-829.552	-807.025	-803.523	2.63189 
7  	25   	-893.342	-806.36 	-803.523	4.89235 
8  	25   	-822.599	-805.351	-803.523	1.4495  
9  	25   	-817.967	-804.902	-803.523	1.31291 
10 	25   	-839.62 	-804.591	-802.921	2.04662 
11 	25   	-1007.78	-805.537	-802.824	13.4892 
12 	25   	-823.614	-803.956	-802.398	1.95392 
13 	25   	-825.076	-803.549	-802.097	1.29747 
14 	25   	-882.599	-803.628	-802.097	4.31081 
15 	25   	-825.87 	-803.049	-802.097	1.40171 
16 	25   	-815.469	-802.817	-802.097	1.24269 
17 	25   	-823.143	-802.668	-802.097	1.68594 
18 	25   	-982.133	-802.714	-801.398	8.07043 
19 	25   	-871.535	-802.598	-801.398	4.41173 
20 	25   	-814.398	-802.17 	-801.398	1.03738 
21 	25   	-843.287	-802.12 	-801.398	2.45388 
22 	25   	-850.975	-802.103	-801.398	3.72962 
23 	25   	-839.979	-801.64 	-801.398	1.96679 
24 	25   	-819.541	-801.562	-801.398	1.11924 
25 	25   	-825.268	-801.596	-800.699	1.53605 
26 	25   	-833.305	-801.609	-800.699	1.8048  
27 	25   	-811.488	-801.514	-800.699	0.90197 
28 	25   	-829.111	-801.54 	-800.699	1.45763 
29 	25   	-904.373	-801.639	-800.699	4.75474 
30 	25   	-820.842	-801.275	-800.699	1.15477 
31 	25   	-832.167	-801.072	-800.699	1.60158 
32 	25   	-811.854	-800.807	-800.699	0.651965
33 	25   	-809.523	-800.841	-800.699	0.805657
34 	25   	-813.155	-800.86 	-800.699	1.06108 
35 	25   	-821.62 	-800.918	-800.699	1.41047 
36 	25   	-875.807	-801.087	-800.699	3.83935 
37 	25   	-844.328	-800.876	-800.699	2.08796 
38 	25   	-823.585	-800.905	-800.699	1.36745 
39 	25   	-833.444	-800.904	-800.699	1.96624 
40 	25   	-816.444	-800.895	-800.699	1.25135 
41 	25   	-839.62 	-800.897	-800.699	1.91232 
42 	25   	-813.796	-800.905	-800.699	1.06252 
43 	25   	-815.79 	-800.921	-800.699	1.20476 
44 	25   	-832.456	-800.948	-800.699	1.82946 
45 	25   	-825.268	-800.875	-800.699	1.31513 
46 	25   	-826.252	-800.986	-800.699	1.59965 
47 	25   	-820.638	-800.871	-800.699	1.27307 
48 	25   	-817.143	-800.833	-800.699	1.01462 
49 	25   	-841.357	-801.044	-800.699	2.35989 
50 	25   	-817.699	-800.94 	-800.699	1.19599 
51 	25   	-832.456	-800.964	-800.699	1.91632 
52 	25   	-836.119	-800.956	-800.699	1.96132 
53 	25   	-847.187	-800.913	-800.699	2.21699 
54 	25   	-812.553	-800.866	-800.602	0.889019
55 	25   	-810.886	-800.882	-800.602	0.959895
56 	25   	-817.42 	-800.962	-800.602	1.55025 
57 	25   	-846.097	-800.973	-800.602	2.2611  
58 	25   	-906.662	-801.064	-800.602	4.8097  
59 	25   	-811.854	-800.825	-800.602	0.908784
60 	25   	-833.155	-800.907	-800.602	1.63325 
61 	25   	-864.776	-800.961	-800.602	2.99789 
62 	25   	-851.967	-800.962	-800.602	2.55547 
63 	25   	-839.796	-800.826	-800.602	1.94199 
64 	25   	-804.921	-800.695	-800.602	0.478182
65 	25   	-892.022	-801.153	-800.602	5.48249 
66 	25   	-808    	-800.712	-800.602	0.644782
67 	25   	-873.119	-800.881	-800.602	3.3235  
68 	25   	-811.854	-800.722	-800.602	0.905517
69 	25   	-829.315	-800.771	-800.602	1.39734 
70 	25   	-821.18 	-800.808	-800.602	1.53284 
71 	25   	-853.252	-800.933	-800.602	3.00099 
72 	25   	-808    	-800.734	-800.602	0.77023 
73 	25   	-832.456	-800.842	-800.602	1.83742 
74 	25   	-812.187	-800.715	-800.602	0.871045
75 	25   	-806.694	-800.695	-800.602	0.530494
76 	25   	-822.602	-800.76 	-800.602	1.3648  
77 	25   	-804.921	-800.643	-800.602	0.295631
78 	25   	-814.143	-800.761	-800.602	0.907864
79 	25   	-813.796	-800.707	-800.602	0.828641
80 	25   	-823.585	-800.779	-800.602	1.29364 
81 	25   	-808.959	-800.693	-800.602	0.569911
82 	25   	-812.824	-800.804	-800.602	1.08891 
83 	25   	-808.602	-800.71 	-800.602	0.669677
84 	25   	-811.585	-800.678	-800.602	0.586527
85 	25   	-809.921	-800.717	-800.602	0.722504
86 	25   	-809.658	-800.709	-800.602	0.704348
87 	25   	-828.509	-800.836	-800.602	1.61074 
88 	25   	-815.745	-800.763	-800.602	1.14886 
89 	25   	-835.034	-800.813	-800.602	1.82247 
90 	25   	-810.143	-800.724	-800.602	0.726845
91 	25   	-934.465	-801.09 	-800.602	6.22551 
92 	25   	-809.921	-800.7  	-800.602	0.67486 
93 	25   	-814.77 	-800.784	-800.602	1.01617 
94 	25   	-805.155	-800.668	-800.602	0.426066
95 	25   	-814.77 	-800.755	-800.602	0.940192
96 	25   	-809.398	-800.712	-800.602	0.698852
97 	25   	-811.854	-800.719	-800.602	0.771259
98 	25   	-892.022	-801.067	-800.602	5.41706 
99 	25   	-819.658	-800.727	-800.602	1.0122  
gen	depth	min     	avg     	max     	std     
0  	25   	-1090.99	-837.6  	-805.495	31.3684 
1  	25   	-906.189	-820.696	-805.495	9.04875 
2  	25   	-867.728	-815.287	-805.495	5.89884 
3  	25   	-934.81 	-812.759	-805.495	9.84085 
4  	25   	-847.841	-809.617	-805.495	3.44196 
5  	25   	-900.916	-807.894	-804.62 	4.79705 
6  	25   	-1573.73	-808.538	-804.62 	34.7845 
7  	25   	-827.79 	-805.788	-804.62 	1.49368 
8  	25   	-844.745	-805.68 	-804.62 	2.8096  
9  	25   	-818.519	-805.331	-804.62 	1.35097 
10 	25   	-881.376	-805.172	-804.62 	3.8997  
11 	25   	-832.592	-804.992	-803.921	2.33804 
12 	25   	-891.369	-805.242	-803.921	4.7689  
13 	25   	-828.313	-804.853	-803.921	1.85805 
14 	25   	-842.423	-804.894	-803.796	2.72334 
15 	25   	-814.506	-804.557	-803.796	0.842915
16 	25   	-827.328	-804.468	-803.796	1.81219 
17 	25   	-834.565	-804.354	-803.796	2.45405 
18 	25   	-830.444	-804.228	-803.097	2.22658 
19 	25   	-821.799	-804.079	-803.046	1.32694 
20 	25   	-825.807	-803.993	-803.046	1.41967 
21 	25   	-816.991	-803.927	-803.046	1.10932 
22 	25   	-816.842	-803.82 	-802.097	0.984807
23 	25   	-820.201	-803.702	-802.097	1.3976  
24 	25   	-817.143	-803.442	-802.097	1.36289 
25 	25   	-823.578	-803.254	-802.097	1.57817 
26 	25   	-819.754	-802.982	-802.097	1.46001 
27 	25   	-858.157	-802.94 	-802.097	3.61451 
28 	25   	-912.341	-802.684	-802.097	5.07358 
29 	25   	-814.291	-802.267	-801.699	0.955368
30 	25   	-837.517	-802.568	-801.699	3.02608 
31 	25   	-822.036	-802.251	-801.699	1.18734 
32 	25   	-830.481	-802.33 	-801.699	1.91699 
33 	25   	-871.535	-802.592	-801.699	4.71967 
34 	25   	-823.869	-802.196	-801.699	1.34674 
35 	25   	-808.699	-801.928	-801.699	0.532871
36 	25   	-821.139	-801.98 	-801.699	1.49642 
37 	25   	-821.337	-801.854	-801.398	1.46768 
38 	25   	-824.717	-801.883	-801.398	1.36741 
39 	25   	-837.108	-801.987	-801.398	2.11471 
40 	25   	-839.377	-801.886	-801.301	1.88619 
41 	25   	-879.785	-802.315	-801.301	5.60514 
42 	25   	-807.301	-801.644	-801    	0.591335
43 	25   	-817.009	-801.619	-801    	1.11116 
44 	25   	-824.284	-801.624	-800.699	1.64573 
45 	25   	-814.125	-801.469	-800.699	0.878888
46 	25   	-815.807	-801.426	-800.699	1.12499 
47 	25   	-815.745	-801.267	-800.699	0.966199
48 	25   	-813.284	-801.116	-800.699	1.22817 
49 	25   	-809.658	-800.895	-800.699	0.807422
50 	25   	-806.796	-800.784	-800.699	0.535261
51 	25   	-845.319	-801.074	-800.699	2.62772 
52 	25   	-812.553	-800.904	-800.699	1.07274 
53 	25   	-958.799	-801.431	-800.699	9.9175  
54 	25   	-828.222	-800.846	-800.699	1.30333 
55 	25   	-821.24 	-800.879	-800.699	1.27557 
56 	25   	-807.745	-800.785	-800.699	0.569833
57 	25   	-878.79 	-801.097	-800.699	3.87485 
58 	25   	-843.337	-801.171	-800.699	3.04575 
59 	25   	-826.79 	-800.961	-800.699	1.88652 
60 	25   	-815.469	-800.864	-800.699	0.94277 
61 	25   	-819.648	-800.926	-800.699	1.33161 
62 	25   	-810.886	-800.834	-800.699	0.717107
63 	25   	-818.678	-800.866	-800.699	1.22673 
64 	25   	-921.903	-801.175	-800.699	5.65434 
65 	25   	-838.387	-800.949	-800.699	2.06386 
66 	25   	-815.372	-800.888	-800.699	1.01456 
67 	25   	-806.796	-800.806	-800.699	0.552962
68 	25   	-897.699	-801.158	-800.699	4.62549 
69 	25   	-828.509	-800.934	-800.699	1.65986 
70 	25   	-813.523	-800.831	-800.699	0.886941
71 	25   	-807.745	-800.804	-800.699	0.647239
72 	25   	-806.097	-800.811	-800.699	0.565848
73 	25   	-819.658	-800.867	-800.699	1.13033 
74 	25   	-822.222	-800.879	-800.699	1.17586 
75 	25   	-817.77 	-800.846	-800.699	1.05149 
76 	25   	-812.824	-800.887	-800.699	1.11871 
77 	25   	-852.26 	-801.046	-800.699	2.77572 
78 	25   	-813.426	-800.858	-800.699	1.04985 
79 	25   	-814.141	-800.814	-800.699	0.792902
80 	25   	-824.569	-800.892	-800.699	1.33185 
81 	25   	-834.427	-800.948	-800.699	1.94306 
82 	25   	-827.523	-800.934	-800.699	1.76202 
83 	25   	-808.959	-800.842	-800.699	0.792168
84 	25   	-812.824	-800.823	-800.699	0.760689
85 	25   	-817.42 	-800.893	-800.699	1.23929 
86 	25   	-825.807	-800.965	-800.699	1.86601 
87 	25   	-860.201	-801.115	-800.699	3.30239 
88 	25   	-815.092	-800.863	-800.699	0.9309  
89 	25   	-818.398	-800.846	-800.699	1.08971 
90 	25   	-834.046	-800.931	-800.699	1.84389 
91 	25   	-987.719	-801.338	-800.699	8.68559 
92 	25   	-812.824	-800.877	-800.699	0.901481
93 	25   	-819.879	-800.906	-800.699	1.26328 
94 	25   	-816.721	-800.988	-800.699	1.55088 
95 	25   	-815.319	-800.844	-800.699	0.900156
96 	25   	-816.721	-800.971	-800.699	1.34014 
97 	25   	-858.215	-800.957	-800.699	2.74128 
98 	25   	-826.538	-800.963	-800.699	1.65904 
99 	25   	-817.42 	-800.934	-800.699	1.36942 
gen	depth	min     	avg     	max     	std     
0  	25   	-1009.21	-836.151	-806.796	24.1444 
1  	25   	-860.025	-821.003	-806.796	8.37452 
2  	25   	-956.927	-815.405	-806.796	8.99265 
3  	25   	-848.596	-811.156	-806.018	3.82564 
4  	25   	-1061.8 	-809.706	-805.398	12.1455 
5  	25   	-954.801	-808.23 	-805.194	7.5424  
6  	25   	-824.983	-807.092	-805    	1.60751 
7  	25   	-894.541	-807.317	-804.602	5.82291 
8  	25   	-833.31 	-806.442	-804    	2.14173 
9  	25   	-832.167	-806.087	-802.921	2.15142 
10 	25   	-878.79 	-805.716	-802.921	3.59234 
11 	25   	-894.87 	-805.603	-802.398	5.98059 
12 	25   	-829.208	-804.545	-802.398	1.68393 
13 	25   	-833.854	-804.057	-802.347	1.80234 
14 	25   	-847.717	-803.61 	-802.097	2.5208  
15 	25   	-819.541	-803.029	-801.398	1.53274 
16 	25   	-812.187	-802.648	-801.398	0.814176
17 	25   	-933.268	-802.73 	-801.398	5.95485 
18 	25   	-840.205	-802.462	-801.398	2.88273 
19 	25   	-815.745	-802.089	-801.398	1.05994 
20 	25   	-858.914	-802.056	-801.398	3.3274  
21 	25   	-840.076	-801.844	-801.398	2.70336 
22 	25   	-808.959	-801.519	-801.398	0.671605
23 	25   	-818.398	-801.641	-801.398	1.38991 
24 	25   	-812.284	-801.566	-801.398	0.943511
25 	25   	-832.167	-801.632	-801.398	1.90697 
26 	25   	-832.349	-801.739	-801.398	2.31389 
27 	25   	-814.252	-801.625	-801.398	1.32042 
28 	25   	-823.301	-801.545	-801.398	1.29613 
29 	25   	-824    	-801.652	-801.398	1.65568 
30 	25   	-916.921	-801.899	-801.398	5.81451 
31 	25   	-829.208	-801.571	-801.398	1.59737 
32 	25   	-810.967	-801.574	-801.398	0.931249
33 	25   	-848.301	-801.75 	-800.699	2.94776 
34 	25   	-815.745	-801.572	-800.699	1.01118 
35 	25   	-919.315	-801.898	-800.699	5.74588 
36 	25   	-904.67 	-801.925	-800.699	5.17968 
37 	25   	-896.407	-801.753	-800.699	4.67901 
38 	25   	-836.818	-801.461	-800.699	1.98759 
39 	25   	-833.058	-801.263	-800.699	2.2758  
40 	25   	-817.42 	-800.917	-800.699	1.06947 
41 	25   	-1080.55	-801.712	-800.699	13.3564 
42 	25   	-866.161	-801.044	-800.699	3.25297 
43 	25   	-821.337	-800.981	-800.699	1.66832 
44 	25   	-853.666	-800.999	-800.699	2.59317 
45 	25   	-841.838	-800.945	-800.699	2.04796 
46 	25   	-832.456	-801.039	-800.699	2.14422 
47 	25   	-822.319	-800.957	-800.699	1.61398 
48 	25   	-826.155	-800.927	-800.699	1.55999 
49 	25   	-909.456	-801.311	-800.699	5.96893 
50 	25   	-813.523	-800.951	-800.699	1.31034 
51 	25   	-951.81 	-801.228	-800.699	7.02229 
52 	25   	-875.807	-801.303	-800.699	5.08034 
53 	25   	-831.18 	-801.037	-800.699	2.04478 
54 	25   	-826.648	-800.926	-800.699	1.56956 
55 	25   	-813.523	-800.894	-800.699	1.07738 
56 	25   	-835.131	-801.048	-800.699	2.3075  
57 	25   	-811.488	-800.858	-800.699	0.972019
58 	25   	-813.983	-800.825	-800.699	0.877582
59 	25   	-825.171	-801.048	-800.699	2.0626  
60 	25   	-838.075	-801.074	-800.699	2.43865 
61 	25   	-810.62 	-800.858	-800.699	0.883915
62 	25   	-818.917	-801.015	-800.699	1.63546 
63 	25   	-850.276	-801.005	-800.699	2.57201 
64 	25   	-1063.68	-801.56 	-800.699	11.9182 
65 	25   	-811.854	-800.881	-800.699	0.954042
66 	25   	-849.983	-801.048	-800.699	2.64192 
67 	25   	-811.585	-800.837	-800.699	0.728056
68 	25   	-854.943	-801.033	-800.699	2.88461 
69 	25   	-842.056	-801.007	-800.699	2.46231 
70 	25   	-815.745	-800.949	-800.699	1.44972 
71 	25   	-827.523	-800.945	-800.699	1.588   
72 	25   	-812.824	-800.875	-800.699	0.976822
73 	25   	-922.602	-801.098	-800.699	5.4977  
74 	25   	-821.62 	-800.882	-800.699	1.30489 
75 	25   	-853.252	-801.007	-800.699	2.72895 
76 	25   	-845.027	-801.083	-800.699	3.15473 
77 	25   	-872.824	-801.129	-800.699	4.28964 
78 	25   	-891.726	-801.114	-800.699	4.53556 
79 	25   	-810.62 	-800.822	-800.699	0.689851
80 	25   	-815.469	-800.863	-800.699	1.11229 
81 	25   	-865.866	-801.047	-800.699	3.34747 
82 	25   	-840.076	-801.053	-800.699	2.40181 
83 	25   	-819.28 	-800.942	-800.699	1.56754 
84 	25   	-808.959	-800.815	-800.699	0.712657
85 	25   	-817.42 	-800.916	-800.699	1.20721 
86 	25   	-833.444	-801.033	-800.699	2.21291 
87 	25   	-816.444	-800.812	-800.699	0.877649
88 	25   	-1073.86	-801.627	-800.699	12.9757 
89 	25   	-820.357	-800.905	-800.699	1.24713 
90 	25   	-867.389	-801.232	-800.699	3.90237 
91 	25   	-817.699	-800.871	-800.699	1.10907 
92 	25   	-823.585	-800.864	-800.699	1.20447 
93 	25   	-854.244	-800.999	-800.699	2.7434  
94 	25   	-820.842	-800.905	-800.699	1.11418 
95 	25   	-816.766	-800.892	-800.699	1.18092 
96 	25   	-842.056	-801.173	-800.699	3.4273  
97 	25   	-814.77 	-800.85 	-800.699	0.969159
98 	25   	-837.108	-800.982	-800.699	2.07186 
99 	25   	-810.62 	-800.915	-800.699	1.05197 
gen	depth	min     	avg     	max     	std     
0  	25   	-1235.65	-840.819	-807.444	31.5169 
