1: crossover='0.9', mutation='0.1', n_generations='100'
2: crossover='0.3717949165152603', mutation='0.20445481197326143', n_generations='205'
3: crossover='0.324818426790216', mutation='0.23773390736707933', n_generations='55'
4: crossover='0.7536767499821508', mutation='0.02695829401235783', n_generations='169'
5: crossover='0.1622385732796756', mutation='0.7744796794261644', n_generations='148'
6: crossover='0.8276662065480691', mutation='0.22750709630759147', n_generations='176'
7: crossover='0.541374090003191', mutation='0.13647020864424475', n_generations='183'
8: crossover='0.526932730529474', mutation='0.23203819185826624', n_generations='77'
9: crossover='0.1339485895732897', mutation='0.6817374592529313', n_generations='113'
10: crossover='0.6361024412494221', mutation='0.9164622204220474', n_generations='247'
11: crossover='0.21590140676835923', mutation='0.7446249139022727', n_generations='206'
12: crossover='0.8542589570168662', mutation='0.4329447442902914', n_generations='177'
13: crossover='0.6621261982700072', mutation='0.2226708212322429', n_generations='86'
14: crossover='0.8651529996300082', mutation='0.5883262925622509', n_generations='55'
15: crossover='0.5704204772131738', mutation='0.3569901145039619', n_generations='147'
16: crossover='0.8747491226693093', mutation='0.7532991383589871', n_generations='87'
17: crossover='0.7815053772148964', mutation='0.6064659400581144', n_generations='190'
18: crossover='0.8773949182565356', mutation='0.200091395810862', n_generations='70'
19: crossover='0.588234113918894', mutation='0.863535602730505', n_generations='50'
20: crossover='0.8859468617980826', mutation='0.38109257179421285', n_generations='69'
21: crossover='0.8592108165350109', mutation='0.18891407031199314', n_generations='89'
22: crossover='0.8874915430081235', mutation='8.293220954519454E-4', n_generations='67'
23: crossover='0.11247628854806002', mutation='0.5735264058028544', n_generations='140'
24: crossover='0.8918396640431209', mutation='0.2541185903049752', n_generations='89'
25: crossover='0.33838344526173203', mutation='0.9831731443968531', n_generations='190'
26: crossover='0.8944688451201535', mutation='0.47988112846113606', n_generations='69'
27: crossover='0.531169152544542', mutation='0.5654490146133884', n_generations='195'
28: crossover='0.8974118908849531', mutation='0.3617472862032547', n_generations='117'
29: crossover='0.061863378253936396', mutation='0.7322949876745211', n_generations='113'
30: crossover='0.8985477032733401', mutation='0.9223330118683866', n_generations='86'
31: crossover='0.6185094167234021', mutation='0.5490848467823859', n_generations='186'
32: crossover='0.8988420282629727', mutation='0.41638884573973134', n_generations='93'
33: crossover='0.726516085282425', mutation='8.125441561558366E-4', n_generations='134'
