ngen	time   	min     	avg     	max     	std    
0   	4.32128	-339.615	-293.997	-261.614	12.7579
1   	5.60027	-322.497	-286.83 	-261.316	10.3705
2   	7.06207	-325.802	-285.902	-245.584	12.699 
3   	8.44436	-322.763	-286.797	-245.584	12.3587
4   	9.71614	-329.59 	-287.618	-245.584	13.253 
5   	10.9808	-332.312	-286.16 	-245.584	11.5645
6   	12.3721	-327.925	-287.573	-245.584	12.1706
7   	13.7055	-334.965	-295.438	-245.584	13.7782
8   	15.0229	-340.168	-292.522	-245.584	12.7503
9   	16.4852	-352.449	-302.491	-245.584	18.5929
10  	17.8122	-343.476	-299.97 	-245.584	15.6708
11  	19.3016	-339.914	-297.243	-245.584	13.8187
12  	20.622 	-336.706	-298.865	-245.584	15.8618
13  	22.0094	-342.601	-297.095	-245.584	16.8277
14  	23.3758	-335.663	-294.263	-245.584	14.1441
15  	24.8224	-342.112	-305.082	-245.584	14.8696
16  	26.1436	-331.484	-302.432	-245.584	12.5094
17  	27.5979	-351.32 	-308.797	-245.584	17.2375
18  	29.0805	-344.313	-303.617	-245.584	14.4875
19  	30.4462	-366.708	-313.695	-245.584	20.0073
20  	31.691 	-358.602	-304.985	-245.584	17.3797
21  	33.0107	-360.252	-309.207	-245.584	18.0201
22  	34.3486	-342.16 	-299.018	-245.584	11.7458
23  	35.8207	-349.373	-298.007	-245.584	15.4775
24  	37.1299	-344.084	-307.168	-245.584	14.4715
25  	38.5884	-350.303	-308.177	-245.584	15.8862
26  	39.933 	-339.744	-302.647	-245.584	10.0576
27  	41.3114	-335.766	-300.307	-245.584	13.5745
28  	42.5987	-347.966	-313.828	-245.584	15.8829
29  	43.9769	-356.06 	-310.918	-245.584	12.7906
30  	45.3079	-353.472	-316.352	-245.584	15.5292
31  	46.7498	-342.596	-302.576	-245.584	12.8373
32  	48.1058	-341.163	-296.517	-245.584	12.7755
33  	49.46  	-345.052	-296.77 	-245.584	12.994 
34  	50.8703	-333.825	-294.628	-245.584	13.5457
35  	52.2259	-337.787	-295.778	-245.584	12.4141
36  	53.5033	-335.33 	-298.283	-245.584	11.7294
37  	54.7785	-337.166	-289.168	-245.584	9.99383
38  	56.1948	-346.89 	-308.79 	-245.584	15.127 
39  	57.498 	-331.55 	-304.961	-245.584	13.4066
40  	58.9668	-360.916	-319.809	-245.584	21.2914
41  	60.3406	-357.39 	-310.391	-245.584	15.3802
42  	61.5891	-352.257	-308.856	-245.584	14.8523
43  	62.9181	-344.857	-304.77 	-245.584	11.098 
44  	64.2242	-326.08 	-297.451	-245.584	11.8   
45  	65.5189	-351.479	-310.441	-245.584	18.2568
46  	66.926 	-340.848	-307.216	-245.584	12.0813
47  	68.2349	-333.437	-303.858	-245.584	13.0395
48  	69.6635	-334.605	-306.871	-245.584	9.45847
49  	71.0728	-325.739	-298.309	-245.584	8.26085
50  	72.5473	-314.135	-294.278	-245.584	5.53143
51  	73.9098	-325.46 	-294.354	-245.584	8.89519
52  	75.2767	-318.402	-291.128	-245.584	7.53517
53  	76.6546	-327.196	-295.063	-245.584	15.8409
54  	77.9682	-317.307	-293.592	-245.584	6.80066
55  	79.4956	-321.348	-297.851	-245.584	9.28586
56  	80.8704	-335.797	-305.829	-245.584	9.34403
57  	82.1749	-318.72 	-304.778	-245.584	4.51436
58  	83.4817	-310.33 	-294.029	-245.584	7.5037 
59  	84.9229	-307.67 	-292.027	-245.584	7.16581
60  	86.4209	-328.433	-310.808	-245.584	8.49798
61  	87.8689	-317.542	-293.946	-245.584	7.76266
62  	89.2866	-310.853	-285.363	-245.584	7.78808
63  	90.7003	-322.758	-307.097	-245.584	9.55832
64  	92.2091	-322.134	-315.33 	-245.584	6.70091
65  	93.556 	-321.013	-314.78 	-245.584	4.63502
66  	94.8672	-349.861	-339.103	-245.584	14.0498
67  	96.1408	-348.794	-303.616	-245.584	11.68  
68  	97.5148	-315.762	-300.857	-245.584	4.78697
69  	98.8167	-325.81 	-307.475	-245.584	6.33628
70  	100.066	-310.069	-293.524	-245.584	6.52344
