-9.20999999
gen	min    	avg    	max    	std    
0  	260.94 	778.045	991.057	70.3962
1  	260.94 	777.588	965.008	71.3414
2  	260.94 	777.252	986.655	72.1488
3  	260.94 	776.704	986.87 	72.9031
4  	260.94 	776.244	994.306	73.1602
5  	260.94 	775.779	983.59 	72.5354
6  	260.94 	775.348	970.222	73.0959
7  	260.94 	774.816	987.976	73.3429
8  	260.94 	774.383	980.03 	74.4229
9  	260.94 	773.899	998.751	74.4013
10 	260.94 	773.268	971.457	74.3424
11 	260.94 	772.796	961.54 	74.3938
12 	260.94 	772.458	962.458	75.0968
13 	260.94 	771.91 	967.621	75.0958
14 	260.94 	771.597	974.718	75.4026
15 	260.94 	771.126	963.243	76.0496
16 	260.94 	770.597	968.05 	76.9722
17 	260.94 	770.074	953.974	76.0094
18 	260.94 	769.662	954.766	76.0903
19 	260.94 	769.265	962.766	77.1142
20 	260.94 	768.763	970.96 	76.5507
21 	260.94 	768.261	943.881	76.0911
22 	260.94 	767.869	944.584	77.1326
23 	260.94 	767.483	963.869	77.6515
24 	260.94 	767.122	963.399	76.896 
25 	260.94 	766.637	992.575	77.3091
26 	259.424	766.08 	975.913	77.9646
27 	259.424	765.651	995.668	77.4648
28 	259.424	765.113	970.708	76.9309
29 	259.332	764.687	961.113	77.2374
30 	259.332	764.277	970.868	77.0248
31 	259.332	763.811	967.311	77.9968
32 	259.332	763.342	957.239	78.1185
33 	259.332	762.806	969.477	77.3282
34 	259.332	762.456	952.45 	77.8787
35 	259.332	761.946	971.392	77.5769
36 	259.332	761.625	971.392	78.0723
37 	259.332	761.127	985.271	78.0131
38 	259.332	760.653	990.212	78.9094
39 	259.332	760.1  	986.442	77.9982
40 	259.332	759.719	970.669	78.5048
41 	259.332	759.354	985.047	78.8086
42 	259.332	758.839	976.49 	78.8078
43 	259.332	758.319	970.568	78.0268
44 	259.332	757.966	973.35 	78.2739
45 	259.332	757.632	953.869	77.204 
46 	259.332	757.273	953.869	76.5574
47 	259.332	756.791	953.869	75.7325
